Slice	time	Mean
1027	136.93333333333334	6.0
1028	137.06666666666666	4.0
1029	137.2	4.0
1030	137.33333333333334	6.0
1031	137.46666666666667	6.0
1032	137.6	4.0
1033	137.73333333333332	4.0
1034	137.86666666666667	6.0
1035	138.0	6.0
1036	138.13333333333333	6.0
1037	138.26666666666668	6.0
1038	138.4	4.0
1039	138.53333333333333	4.0
1040	138.66666666666666	4.0
1041	138.8	4.0
1042	138.93333333333334	4.0
1043	139.06666666666666	4.0
1044	139.2	4.0
1045	139.33333333333334	4.0
1046	139.46666666666667	4.0
1047	139.6	4.0
1048	139.73333333333332	4.0
1049	139.86666666666667	4.0
1050	140.0	4.0
1051	140.13333333333333	4.0
1052	140.26666666666668	4.0
1053	140.4	4.0
1054	140.53333333333333	4.0
1055	140.66666666666666	4.0
1056	140.8	4.0
1057	140.93333333333334	4.0
1058	141.06666666666666	4.0
1059	141.2	4.0
1060	141.33333333333334	6.0
1061	141.46666666666667	6.0
1062	141.6	7.0
1063	141.73333333333332	15.0
1064	141.86666666666667	32.5
1065	142.0	37.0
1066	142.13333333333333	31.0
1067	142.26666666666668	20.5
1068	142.4	15.0
1069	142.53333333333333	13.0
1070	142.66666666666666	10.0
1071	142.8	8.5
1072	142.93333333333334	8.0
1073	143.06666666666666	8.0
1074	143.2	8.0
1075	143.33333333333334	6.0
1076	143.46666666666667	6.0
1077	143.6	4.0
1078	143.73333333333332	6.0
1079	143.86666666666667	4.0
1080	144.0	4.0
1081	144.13333333333333	4.0
1082	144.26666666666668	4.0
1083	144.4	6.0
1084	144.53333333333333	6.0
1085	144.66666666666666	6.0
1086	144.8	6.0
1087	144.93333333333334	4.0
1088	145.06666666666666	6.0
1089	145.2	6.0
1090	145.33333333333334	4.0
1091	145.46666666666667	4.0
